Id,Profile Name,Review,Review date,Rating,Colour,Size
R321JVL8EP1KOQ,Naveen Biswas,Maza aagiya bas ek time sai aacha sai packing karna,21 June 2023,5,Blue,128 GB
RMNZR290G63VA,Karthik,I moved from android to ios it was good it was very security in iphone,15 June 2023,5,Blue,128 GB
R27E3GL7YT07M,Deepaklal B,Yellow colour is awesome,25 May 2023,4,Yellow,256 GB
RWS3HKMEKCLFF,Bhushan,Good,16 May 2023,4,Blue,128 GB
R2RJBX45UONRH0,Karn,"The Apple iPhone 14 (128 GB) (Starlight) is the most recent addition to the iPhone series, and it comes with a slew of exciting features that are sure to please its users. The increased storage capacity, which now stands at 128 GB, is one of the most significant improvements over its predecessor, providing ample space for storing photos, videos, and other important data.The Starlight color option is also visually appealing, with its soft, silvery hue lending a sleek and elegant appearance to the phone. The 6.1-inch Super Retina XDR display on the phone is a visual treat, providing vivid and clear images whether you're browsing social media, watching videos, or playing games.The iPhone 14's powerful A18 chip, which delivers fast and efficient performance, is another standout feature.",10 May 2023,5,Starlight,128 GB
R29OF8GY7W4U8B,Nahid,Audio and browsing so fadu i mean a1 quality  my first phone for apple brandBut phone is small size 😢,12 May 2023,4,Blue,128 GB
R8LQSZZ4XIQW,Saurav singh,Really a good product,21 June 2023,5,Blue,128 GB
R1HBN7LP1R6QMO,Subhash Chandra,G,25 June 2023,5,Purple,128 GB
R2LABCJ00ULO0D,Harsh,All is good. Generally better than android. If you’re thinking iPhone applications don’t crash then you’re wrong. They crash all the time in the background. Only phone is fast enough to load them back quickly. You will notice only if you’rea heavy user. Screen is prone to scratches as it’s softer than gorilla glass. Get a good tempered glass protector and a strong case to protect your most expensive purchase,23 May 2023,5,Blue,128 GB
R1HO2C24MOCE3R,ROSY,Excellent Phone,23 June 2023,5,Blue,128 GB
R1PXWMUJE9PJLG,sai paneendra,Nice,21 June 2023,5,Blue,128 GB
R16WE4RXUNQ5DN,Rahul Battin,This product is absolutely out of the box. Although the product was delivery on time but I needed the package to be delivered a little early,7 June 2023,5,Blue,128 GB
R1M2WQFRP3QAJI,Shankar,"Migrating to iPhone for the first time, found out that Amazon offers it the cheapest with all its card offers. The base model is actually cheaper than the US. Delivery and packaging was very good.Phone performance- On an average getting 1.5 days of battery with moderate usage. Still getting used to the environment change, but its going well so far.",26 May 2023,5,Midnight,128 GB
R6OF97A2HYFUK,Rahul Kumar,"This is my first ever iPhone and before ordering I was very particular about it's colour and size. I wanted the midnight variant in the regular size. It looks so sleek in person. Yes it is glossy and a finger-print magnet but I'll have to bear with it coz I simply like black phones. It's working perfectly. Also, i would like to add, the packing of such an expensive device was not up to the mark. I have seen how well Apple packs the box and ships to its customers in videos of people from other countries. The Amazon seller just put it in a large plastic bag. Though the box was unharmed when it reached me, I could still notice a little dented corners on the box, which could have been avoided if they had packed the box in a bigger carton with foams.",21 May 2023,5,Midnight,128 GB
R2585CGL7LKS1G,SATEESH,Colour was nice and Really cool,14 June 2023,5,Yellow,128 GB
RMAJVLG2JRTF5,Hrishi,Great phone after all its iPhone. Loved it.,23 June 2023,5,Blue,128 GB
R2O12Z0FGHM0WC,Abhishek,Great phone delivered in good condition and no problem in phone,9 June 2023,5,Blue,128 GB
RHL41DU7PRKLN,Kartikey Singh ,"Everything is superb but , no one has Tell about the lens flair , only that is the Cone of all the iPhones , not only in this , this is the main issue in all .But the camera quality is superb you will not be disappointed .",20 May 2023,5,Blue,128 GB
RSP21MMME55HE,Shafat Ahmed,Classy,12 June 2023,5,Red,128 GB
R1U3DGI6GMFKJG,dayal rai,I love itExcellent product,2 July 2023,5,Midnight,256 GB
R2OWLJ7YP55LJ4,Gauravraj,"I have switched from Android to IPhone 14 (but i am not making my older phone an orphan, as i will still be using it!). But believe me.. Though iPhones are over premium smartphones, still, an iPhone is an iPhone. You can't resist using it.Phone is awesome, refresh rate is awesome and most important, camera... is Amazing..! One thing I really miss is fingerprint scanner. And the audio jack..(as i am not airpods friendly person). Silent slider is super!! E-sim is not new but still creative. I liked it.Coming to accessibility, for first few days or a couple of week, you will feel uncomfortable and inconvenience while finding few settings and applications as you are addicted to Android. Don't panic, be calm and use 'google' baba or youtube 'didi' to find ways to get particular settings yoh are searching for in iphone. There are ton's of video's on it. AND, don't be shy or ashamed of searching these things on google as no one is perfect or know everything beforehand.",10 May 2023,5,Midnight,128 GB
R3PTFDWGT1QRV1,Parul Thapar,Thank you,17 June 2023,5,Yellow,128 GB
R1OAIL4H96BLP6,Srinivasa Raju S, In the beginning will have heating issue and it will not charge while hot. So for first 100%charge u need to wait for more than 3hrs . After that it is good,12 June 2023,5,Blue,128 GB
R2L8Q51DP6AAS1,Badal virat,Great phone delivered in good condition and no problem in phone,1 July 2023,5,Purple,128 GB
R13W1QI0CQG09U,@TravellerYogi18, Go for it.,17 May 2023,4,Red,128 GB
R3ZJ76OFHF64C,Sooraj pk,iphone is iphone. No more review needed,5 June 2023,5,Yellow,256 GB
RN4HLI09XTTRH,Sujit Kumar,Excellent Phone,7 June 2023,5,Midnight,128 GB
RBSGVZBQOVCXN,Muthuselvam,Not worth for cost,28 June 2023,3,Blue,128 GB
R25V0E8R5Y3AFG,Weku,It’s an excellent product,5 June 2023,5,Blue,128 GB
R3LTH3AQGQU4VN,Amazon Customer,Good,11 June 2023,5,Midnight,128 GB
R2J9VLWN8CRJ46,Amazon Customer,"It’s a 6.1 inch phone very convenient to hold on and I switched from android to Apple , found it convenient except for the fact could not transfer WhatsApp chats to it via the move to iOS app. Some error occurred , apart from that all good",12 May 2023,5,Blue,128 GB
R2LGCG79T5OIBB,ANIL,osm,1 June 2023,5,Midnight,128 GB
R12VHMXRE2HSPV,DigvijayT,Nice,2 June 2023,5,Midnight,128 GB
R154AS3EL4GMLC,harsh a.,Loved it,4 June 2023,5,Midnight,128 GB
R3M5XFZLAZB4YB,Mahesh Rajubhai Panchal,"Premium device worth the price.Great display excellent battery, awesome camera.",29 June 2023,5,Midnight,128 GB
R2ZYKRES81DBUT,KNVEXIM,Amazing quality,27 May 2023,5,Starlight,128 GB
R1NXDC481NU88L,MNaik,Best phone,24 May 2023,5,Purple,128 GB
RTJHHQ6UU22XP,rohit koul,"I bought iPhone 14 for my wife in Amazon summer sale. Got a great deal. The phone looks great especially the blue color, camera is outstanding. So far so good.",11 May 2023,5,Blue,128 GB
R2EYW7Q4BPEYFZ,Harsh Kr Harshit,Kya baat hai kya baat,28 May 2023,5,Starlight,128 GB
R1SPC3VL2DWWXK,Mukund K V,Perfect condition,26 May 2023,5,Blue,128 GB
RR3ENMCS5SJIX,Amazon Customer,"It is just 10 days that I have bought a new iphone 14, it is just getting over heated while using.",20 May 2023,5,Purple,128 GB
R3VNGMJ1F40PVV,Prince charaison,Awesome,25 May 2023,5,Starlight,128 GB
R1FZJYFXXRY9PJ,Trick Filter, Photos Pickup Real Clours.But In Video Cinematic Mode is Awesome 💯,29 April 2023,4,Purple,128 GB
RZBNPMS0CJ0NT,YASH,Iphone 14 is much better.,25 May 2023,5,Blue,128 GB
RNAPCA5AM5DAI,S chandrakumar,Phone was so good 😊,22 May 2023,5,Yellow,256 GB
R3NVW8ZDUOLTF,simran,"The new iPhone 14 sort of fits into this category of product. Just sort of, though, since Apple has redesigned the internals quite a bit to facilitate easier repairability, among other things. Plus, you do get new cameras and a few other new features, iPhone 14 is essentially the same as the iPhone 13.",10 May 2023,3,Starlight,128 GB
R19EDAJMS4NTVY,CH.SUBRAHMANYAM,Nice,2 May 2023,4,Blue,128 GB
R3S87IGY2MWDHD,Amazon Customer,Nice phone,24 May 2023,5,Starlight,128 GB
R30RX6UG667916,Ansh walia,The apple product is a dream for everyone but after spending thousands of rupees you still get a damaged box is not acceptable. Amazon needs to be careful about the product handling this can effect the products quality also. However phone is working smoothly,10 May 2023,3,Midnight,128 GB
R2P246O7QE05T9,kunal biswas,my first iphone is iphone 14 . It gives you rich feeling. must buy,10 May 2023,5,Purple,128 GB
R2G4MCR4EJ6EMN,Rithik Sureka,The product is great,19 May 2023,5,Starlight,128 GB
RDVEDT9Z6D7FB,T Lalrinchhana,Amazing phone with amazing camera* must buy one,20 April 2023,4,Purple,128 GB
RX58Q4X1WNZZP,Panz Jay,The performance of phone and photos are very good,18 May 2023,5,Blue,128 GB
R2UKEYZ30F5XFM,Amazon Customer,"No words, no comparison.Speechless",16 May 2023,5,Midnight,128 GB
R1K8EC30S29AVI,Choudhary,This is class of iPhone,26 May 2023,5,Midnight,128 GB
R3K39BTETDFXF2,Amazon Customer,Best camera phone,18 May 2023,5,Midnight,128 GB
R2DWZ226H7MGG7,Nakshatra,"I ordered mid black just for my trust  on seller (appario pvt lmt ),timely delivery and iPhone is As it Is .",12 May 2023,5,Midnight,128 GB
R31U5IFO4RULNY,Raghul,"This is my first iPhone, very nice experience and strongly recommended… thanks Amazon you doing great job..",11 May 2023,5,Midnight,128 GB
R9PJ4U4W79X28,Satvik,Good phone. Feels premium and nice performance,15 May 2023,5,Purple,128 GB
R334JDHM3UAUYQ,mahesha,SAME LIKE 13,16 May 2023,5,Blue,128 GB
R37978F7YKTMDO,Harleen kohli,It’s an excellent product,27 May 2023,5,Yellow,128 GB
RQ5IZF120MZ2L,shubham,I switched from oneplus to iphone and i loved it,12 May 2023,5,Midnight,128 GB
R390F9PKF861S4,Priyanka choudhary, Nice,10 June 2023,5,Purple,128 GB
R1WWKFQRTC6HRD,manas parhi,Like the camer,15 May 2023,5,Midnight,128 GB
R9Y16VLX4KW79,Carthikeyan,"Premium device worth the price.Great display excellent battery, awesome camera.",8 May 2023,5,Starlight,128 GB
R3PRKVCS3ZEZVH,Bittu,The best of all ipdone seriesProductivity is too good,7 May 2023,5,Blue,128 GB
R2ASICI54TPNQ6,abdulazeez,Good,12 May 2023,5,Midnight,128 GB
RQFEFJSBIUE1C,Ravikant Patil,Worth to buy,1 July 2023,5,Midnight,128 GB
